 ,Area,IntDen,Median,RawIntDen
1687,11,12842.000,1208,12842.000
1688,7,7847.000,1236,7847.000
1689,10,12178.000,1285,12178.000
1690,10,12536.000,1086,12536.000
1691,4,4656.000,1238,4656.000
1692,9,10239.000,1102,10239.000
1693,7,8621.000,1337,8621.000
1694,5,5870.000,1236,5870.000
1695,2,2210.000,1260,2210.000
1696,4,4579.000,1119,4579.000
1697,8,10501.000,1309,10501.000
1698,6,6147.000,1032,6147.000
1699,7,6614.000,880,6614.000
1700,9,10687.000,1100,10687.000
1701,4,4045.000,946,4045.000
1702,7,8009.000,1107,8009.000
1703,2,1679.000,863,1679.000
1704,6,6992.000,1306,6992.000
1705,5,5592.000,973,5592.000
1706,2,1870.000,938,1870.000
1707,4,4524.000,1214,4524.000
1708,6,5929.000,984,5929.000
1709,6,5913.000,1003,5913.000
1710,8,8543.000,1039,8543.000
1711,12,15831.000,1312,15831.000
1712,4,5071.000,1228,5071.000
1713,7,8218.000,1270,8218.000
1714,5,4933.000,917,4933.000
1715,9,9993.000,1159,9993.000
1716,7,7117.000,946,7117.000
1717,4,3496.000,926,3496.000
1718,10,11724.000,1190,11724.000
1719,7,7929.000,1136,7929.000
1720,6,6806.000,1309,6806.000
1721,10,11261.000,1135,11261.000
1722,7,7705.000,1091,7705.000
1723,10,11266.000,1236,11266.000
1724,8,9170.000,1202,9170.000
1725,7,8217.000,1161,8217.000
1726,6,6749.000,1173,6749.000
1727,5,5820.000,1135,5820.000
1728,9,10254.000,1087,10254.000
1729,8,10000.000,1394,10000.000
1730,7,7660.000,1115,7660.000
1731,4,4481.000,1148,4481.000
1732,11,12722.000,1180,12722.000
1733,8,10440.000,1365,10440.000
1734,7,7512.000,1121,7512.000
1735,6,8071.000,1517,8071.000
1736,9,10810.000,1156,10810.000
1737,23,25736.000,1109,25736.000
1738,9,10965.000,1214,10965.000
1739,5,5626.000,1187,5626.000
1740,8,9394.000,1226,9394.000
1741,12,14100.000,1056,14100.000
1742,7,8826.000,1208,8826.000
1743,6,6547.000,1260,6547.000
1744,4,4260.000,1013,4260.000
1745,7,8775.000,1137,8775.000
1746,7,8722.000,1274,8722.000
1747,10,12154.000,1086,12154.000
1748,7,9160.000,1320,9160.000
1749,7,9183.000,1424,9183.000
1750,11,13923.000,1305,13923.000
1751,5,6854.000,1420,6854.000
1752,9,9816.000,1082,9816.000
1753,2,2570.000,1285,2570.000
1754,4,5198.000,1337,5198.000
1755,6,6792.000,1235,6792.000
1756,10,11961.000,1061,11961.000
1757,9,11022.000,1337,11022.000
1758,15,16387.000,1050,16387.000
1759,9,10639.000,1285,10639.000
1760,6,7315.000,1456,7315.000
1761,2,1902.000,1050,1902.000
1762,5,5423.000,1061,5423.000
1763,10,13680.000,1532,13680.000
1764,9,10852.000,985,10852.000
1765,6,7150.000,1233,7150.000
1766,4,6339.000,1598,6339.000
1767,4,4334.000,1190,4334.000
1768,7,7745.000,1019,7745.000
1769,6,6328.000,1028,6328.000
1770,9,10821.000,1173,10821.000
1771,5,6111.000,1285,6111.000
1772,8,8771.000,1123,8771.000
1773,7,8147.000,1120,8147.000
1774,8,11145.000,1496,11145.000
1775,17,21544.000,1188,21544.000
1776,10,12645.000,1278,12645.000
1777,7,7676.000,1018,7676.000
1778,10,11162.000,1048,11162.000
1779,5,5497.000,1025,5497.000
1780,4,3767.000,870,3767.000
1781,2,1637.000,824,1637.000
1782,7,7794.000,1127,7794.000
1783,4,3598.000,917,3598.000
1784,9,12448.000,1365,12448.000
1785,12,15700.000,1524,15700.000
1786,5,6200.000,1237,6200.000
1787,8,9865.000,1318,9865.000
1788,6,6945.000,1237,6945.000
1789,8,9101.000,1112,9101.000
1790,6,7138.000,1340,7138.000
1791,7,9422.000,1316,9422.000
1792,11,13881.000,1260,13881.000
1793,4,4587.000,1260,4587.000
1794,6,7045.000,1329,7045.000
1795,10,13335.000,1475,13335.000
1796,8,8756.000,1067,8756.000
1797,5,5592.000,1139,5592.000
1798,11,12271.000,1109,12271.000
1799,8,9957.000,1222,9957.000
1800,9,12084.000,1323,12084.000
1801,7,8640.000,1365,8640.000
1802,4,4588.000,1270,4588.000
